video,prompt,negative_prompt
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000000.mp4,"A video showing the process of folding a towel, demonstration 1",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000001.mp4,"A video showing the process of folding a towel, demonstration 2",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000002.mp4,"A video showing the process of folding a towel, demonstration 3",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000003.mp4,"A video showing the process of folding a towel, demonstration 4",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000004.mp4,"A video showing the process of folding a towel, demonstration 5",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000005.mp4,"A video showing the process of folding a towel, demonstration 6",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000006.mp4,"A video showing the process of folding a towel, demonstration 7",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000007.mp4,"A video showing the process of folding a towel, demonstration 8",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000008.mp4,"A video showing the process of folding a towel, demonstration 9",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000009.mp4,"A video showing the process of folding a towel, demonstration 10",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000010.mp4,"A video showing the process of folding a towel, demonstration 11",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000011.mp4,"A video showing the process of folding a towel, demonstration 12",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000012.mp4,"A video showing the process of folding a towel, demonstration 13",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000013.mp4,"A video showing the process of folding a towel, demonstration 14",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000014.mp4,"A video showing the process of folding a towel, demonstration 15",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000015.mp4,"A video showing the process of folding a towel, demonstration 16",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000016.mp4,"A video showing the process of folding a towel, demonstration 17",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000017.mp4,"A video showing the process of folding a towel, demonstration 18",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000018.mp4,"A video showing the process of folding a towel, demonstration 19",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000019.mp4,"A video showing the process of folding a towel, demonstration 20",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000020.mp4,"A video showing the process of folding a towel, demonstration 21",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000021.mp4,"A video showing the process of folding a towel, demonstration 22",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000022.mp4,"A video showing the process of folding a towel, demonstration 23",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000023.mp4,"A video showing the process of folding a towel, demonstration 24",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000024.mp4,"A video showing the process of folding a towel, demonstration 25",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000025.mp4,"A video showing the process of folding a towel, demonstration 26",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000026.mp4,"A video showing the process of folding a towel, demonstration 27",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000027.mp4,"A video showing the process of folding a towel, demonstration 28",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000028.mp4,"A video showing the process of folding a towel, demonstration 29",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000029.mp4,"A video showing the process of folding a towel, demonstration 30",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000030.mp4,"A video showing the process of folding a towel, demonstration 31",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000031.mp4,"A video showing the process of folding a towel, demonstration 32",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000032.mp4,"A video showing the process of folding a towel, demonstration 33",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000033.mp4,"A video showing the process of folding a towel, demonstration 34",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000034.mp4,"A video showing the process of folding a towel, demonstration 35",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000035.mp4,"A video showing the process of folding a towel, demonstration 36",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000036.mp4,"A video showing the process of folding a towel, demonstration 37",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000037.mp4,"A video showing the process of folding a towel, demonstration 38",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000038.mp4,"A video showing the process of folding a towel, demonstration 39",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000039.mp4,"A video showing the process of folding a towel, demonstration 40",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000040.mp4,"A video showing the process of folding a towel, demonstration 41",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000041.mp4,"A video showing the process of folding a towel, demonstration 42",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000042.mp4,"A video showing the process of folding a towel, demonstration 43",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000043.mp4,"A video showing the process of folding a towel, demonstration 44",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000044.mp4,"A video showing the process of folding a towel, demonstration 45",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000045.mp4,"A video showing the process of folding a towel, demonstration 46",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000046.mp4,"A video showing the process of folding a towel, demonstration 47",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000047.mp4,"A video showing the process of folding a towel, demonstration 48",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000048.mp4,"A video showing the process of folding a towel, demonstration 49",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000049.mp4,"A video showing the process of folding a towel, demonstration 50",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000050.mp4,"A video showing the process of folding a towel, demonstration 51",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000051.mp4,"A video showing the process of folding a towel, demonstration 52",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000052.mp4,"A video showing the process of folding a towel, demonstration 53",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000053.mp4,"A video showing the process of folding a towel, demonstration 54",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000054.mp4,"A video showing the process of folding a towel, demonstration 55",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000055.mp4,"A video showing the process of folding a towel, demonstration 56",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000056.mp4,"A video showing the process of folding a towel, demonstration 57",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000057.mp4,"A video showing the process of folding a towel, demonstration 58",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000058.mp4,"A video showing the process of folding a towel, demonstration 59",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000059.mp4,"A video showing the process of folding a towel, demonstration 60",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000060.mp4,"A video showing the process of folding a towel, demonstration 61",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000061.mp4,"A video showing the process of folding a towel, demonstration 62",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000062.mp4,"A video showing the process of folding a towel, demonstration 63",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000063.mp4,"A video showing the process of folding a towel, demonstration 64",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000064.mp4,"A video showing the process of folding a towel, demonstration 65",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000065.mp4,"A video showing the process of folding a towel, demonstration 66",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000066.mp4,"A video showing the process of folding a towel, demonstration 67",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000067.mp4,"A video showing the process of folding a towel, demonstration 68",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000068.mp4,"A video showing the process of folding a towel, demonstration 69",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000069.mp4,"A video showing the process of folding a towel, demonstration 70",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000070.mp4,"A video showing the process of folding a towel, demonstration 71",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000071.mp4,"A video showing the process of folding a towel, demonstration 72",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000072.mp4,"A video showing the process of folding a towel, demonstration 73",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000073.mp4,"A video showing the process of folding a towel, demonstration 74",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000074.mp4,"A video showing the process of folding a towel, demonstration 75",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000075.mp4,"A video showing the process of folding a towel, demonstration 76",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000076.mp4,"A video showing the process of folding a towel, demonstration 77",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000077.mp4,"A video showing the process of folding a towel, demonstration 78",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000078.mp4,"A video showing the process of folding a towel, demonstration 79",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000079.mp4,"A video showing the process of folding a towel, demonstration 80",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000080.mp4,"A video showing the process of folding a towel, demonstration 81",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000081.mp4,"A video showing the process of folding a towel, demonstration 82",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000082.mp4,"A video showing the process of folding a towel, demonstration 83",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000083.mp4,"A video showing the process of folding a towel, demonstration 84",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000084.mp4,"A video showing the process of folding a towel, demonstration 85",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000085.mp4,"A video showing the process of folding a towel, demonstration 86",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000086.mp4,"A video showing the process of folding a towel, demonstration 87",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000087.mp4,"A video showing the process of folding a towel, demonstration 88",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000088.mp4,"A video showing the process of folding a towel, demonstration 89",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000089.mp4,"A video showing the process of folding a towel, demonstration 90",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000090.mp4,"A video showing the process of folding a towel, demonstration 91",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000091.mp4,"A video showing the process of folding a towel, demonstration 92",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000092.mp4,"A video showing the process of folding a towel, demonstration 93",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000093.mp4,"A video showing the process of folding a towel, demonstration 94",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000094.mp4,"A video showing the process of folding a towel, demonstration 95",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000095.mp4,"A video showing the process of folding a towel, demonstration 96",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000096.mp4,"A video showing the process of folding a towel, demonstration 97",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000097.mp4,"A video showing the process of folding a towel, demonstration 98",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000098.mp4,"A video showing the process of folding a towel, demonstration 99",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000099.mp4,"A video showing the process of folding a towel, demonstration 100",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000100.mp4,"A video showing the process of folding a towel, demonstration 101",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000101.mp4,"A video showing the process of folding a towel, demonstration 102",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000102.mp4,"A video showing the process of folding a towel, demonstration 103",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000103.mp4,"A video showing the process of folding a towel, demonstration 104",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000104.mp4,"A video showing the process of folding a towel, demonstration 105",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000105.mp4,"A video showing the process of folding a towel, demonstration 106",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000106.mp4,"A video showing the process of folding a towel, demonstration 107",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000107.mp4,"A video showing the process of folding a towel, demonstration 108",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000108.mp4,"A video showing the process of folding a towel, demonstration 109",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000109.mp4,"A video showing the process of folding a towel, demonstration 110",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000110.mp4,"A video showing the process of folding a towel, demonstration 111",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000111.mp4,"A video showing the process of folding a towel, demonstration 112",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000112.mp4,"A video showing the process of folding a towel, demonstration 113",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000113.mp4,"A video showing the process of folding a towel, demonstration 114",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000114.mp4,"A video showing the process of folding a towel, demonstration 115",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000115.mp4,"A video showing the process of folding a towel, demonstration 116",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000116.mp4,"A video showing the process of folding a towel, demonstration 117",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000117.mp4,"A video showing the process of folding a towel, demonstration 118",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000118.mp4,"A video showing the process of folding a towel, demonstration 119",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000119.mp4,"A video showing the process of folding a towel, demonstration 120",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000120.mp4,"A video showing the process of folding a towel, demonstration 121",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000121.mp4,"A video showing the process of folding a towel, demonstration 122",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000122.mp4,"A video showing the process of folding a towel, demonstration 123",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000123.mp4,"A video showing the process of folding a towel, demonstration 124",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000124.mp4,"A video showing the process of folding a towel, demonstration 125",
/nyx-storage1/hanliu/fold_towel_new/videos/chunk-000/observation.images.cam_high/episode_000125.mp4,"A video showing the process of folding a towel, demonstration 126",
